,utt,intent,index
21,"houston airports , what are the schedule of flights from boston to san francisco for august first and then what is restriction ap57",atis_airport#atis_flight_time#atis_restriction,"6,17,7"
22,"please show me all airports in denver , what price is a limousine service to new york s la guardia and then how many flights does twa have in business class",atis_airport#atis_ground_fare#atis_quantity,"6,14,0"
23,first class price san francisco pittsburgh round trip and then what is restriction ap57,atis_airfare#atis_restriction,"4,7"
24,what is the distance from san francisco international airport to san francisco and is there a flight between oakland and boston with a stopover in dallas fort worth on twa,atis_distance#atis_flight,"9,2"
25,what price is a limousine service in boston and then what is restriction ap57,atis_ground_fare#atis_restriction,"14,7"
26,what is restriction ap80,atis_restriction,7
27,what is fare code f and also how many fare codes belong to economy class,atis_abbreviation#atis_quantity,"5,0"
28,airports in new york and then what are the rental car rates in san francisco,atis_airport#atis_ground_fare,"6,14"
29,show me the cheapest fare in the database and ground transportation san francisco,atis_cheapest#atis_ground_service,"15,8"
30,what times does the late afternoon flight leave from washington for denver and what ground transportation is available in san francisco,atis_flight_time#atis_ground_service,"17,8"
31,how many people fit on a 73s and then what is restriction ap80,atis_capacity#atis_restriction,"10,7"
32,"what is the fare code y and what is the fare code h , give me a list of airports in baltimore and also how far is the airport from downtown pittsburgh",atis_abbreviation#atis_airport#atis_distance,"5,6,9"
33,what is the name of the airport in philadelphia and then i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night,atis_airport#atis_flight_no,"6,1"
34,what type of aircraft leaves from boston to washington dc at 9 am and then what s the capacity of a 733,atis_aircraft#atis_capacity,"16,10"
35,i d like a flight from montreal to san diego for sunday and then what are the rental car rates in san francisco,atis_flight#atis_ground_fare,"2,14"
36,what cities does continental service,atis_city,11
37,please list the prices for a rental car in pittsburgh and also what are all the available meals,atis_ground_fare#atis_meal,"14,13"
38,what are the seating capacities of planes between pittsburgh and baltimore,atis_capacity,10
39,how many passengers fit on a d9s and also what are the rental car rates in san francisco,atis_capacity#atis_ground_fare,"10,14"
40,"what airport is at tampa , on continental flight 1765 from boston to san francisco what type of meal is served and may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday",atis_airport#atis_flight#atis_flight_no,"6,2,1"
41,"does the philadelphia airport have a name , show me the cheapest fare in the database and then what is the number of first class flights on american airlines",atis_airport#atis_cheapest#atis_flight_no,"6,15,1"
42,show me the cheapest fare in the database and what s the last flight leaving from pittsburgh to oakland,atis_cheapest#atis_flight,"15,2"
43,what is the cost of the air taxi operation at philadelphia international airport,atis_ground_fare,14
44,please list information regarding san francisco airport and also i would like the flight number and the time for the cheapest fare that is the least expensive first class fare from san francisco to pittsburgh leaving after 8 pm monday night,atis_airport#atis_flight_no,"6,1"
45,saturday flights from las vegas to montreal and what are the schedule of flights from boston to san francisco for august first,atis_flight#atis_flight_time,"2,17"
46,"what does fare code y mean , does the philadelphia airport have a name and what is the distance between pittsburgh airport and downtown pittsburgh",atis_abbreviation#atis_airport#atis_distance,"5,6,9"
47,what airlines fly from boston to atlanta,atis_airline,3
48,"lowest fare from san francisco to orlando , what is the seating capacity of the various airplanes that united airlines uses and also could you give me the schedule of flights for american and delta to dfw on august fifteenth",atis_airfare#atis_capacity#atis_flight_time,"4,10,17"
49,where is general mitchell international located and then what are all the available meals,atis_city#atis_meal,"11,13"
50,does any airline have an early afternoon flight from boston to denver and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,atis_airline#atis_restriction,"3,7"
51,"which airline has the most arrivals in atlanta , show me the cheapest fare in the database and also show me a list of flights from denver to san francisco for september first 1991",atis_airline#atis_cheapest#atis_flight,"3,15,2"
52,show me boston ground transportation,atis_ground_service,8
53,"which airlines fly from toronto to san diego and have a stopover in denver , show me the cheapest fare in the database and also is there a meal on delta flight 852 from san francisco to dallas fort worth",atis_airline#atis_cheapest#atis_meal,"3,15,13"
54,ground transportation minneapolis and then show me all meals on flights from atlanta to washington,atis_ground_service#atis_meal,"8,13"
55,i d like to know what type of plane flies from boston to dallas fort worth after 530 and then show me all the cities that midwest express serves,atis_aircraft#atis_city,"16,11"
56,i m trying to find the flight number from a flight from orlando to cleveland on us air and it arrives around 10 pm,atis_flight_no,1
57,"what does the fare code qx mean , what is the distance between pittsburgh airport and downtown pittsburgh and what is restriction ap80",atis_abbreviation#atis_distance#atis_restriction,"5,9,7"
58,what is the arrival time in san francisco for the 755 am flight leaving washington,atis_flight_time,17
59,show me the cheapest fare in the database,atis_cheapest,15
60,"what type of aircraft leaving philadelphia to dallas , how long does it take to get from kansas city to st paul and what is the cost of the air taxi operation at philadelphia international airport",atis_aircraft#atis_distance#atis_ground_fare,"16,9,14"
61,"could you please give me the round trip fare from denver to atlanta , what is the cost of limousine service in philadelphia and also how many united flights are there to san francisco",atis_airfare#atis_ground_fare#atis_quantity,"4,14,0"
62,"airline code as , please list the flights leaving from st louis to st paul after 10 am and then how much is the ground transportation between atlanta and downtown",atis_airline#atis_flight#atis_ground_fare,"3,2,14"
63,show me the cheapest fare in the database and is bwi washington,atis_cheapest#atis_city,"15,11"
64,which airline has more business class flights than any other airline and what city is the airport mco in,atis_airline#atis_city,"3,11"
65,"please list information regarding san francisco airport , what is the distance from la guardia to new york s downtown and also what are the rental car rates in san francisco",atis_airport#atis_distance#atis_ground_fare,"6,9,14"
66,which airlines have flights from denver to pittsburgh and then how long does it take to get from atlanta airport into the city of atlanta,atis_airline#atis_distance,"3,9"
67,what s the airport at orlando and then list the number of flights leaving boston for dallas fort worth before 9 am in the morning,atis_airport#atis_quantity,"6,0"
68,airports in new york and do i get a meal on the atlanta to bwi flight eastern 210,atis_airport#atis_meal,"6,13"
69,okay i would like to know the type of aircraft used on a flight from cleveland to dallas please and which airline provides business class flights,atis_aircraft#atis_airline,"16,3"
70,list number of people that can be carried on each type of plane that flies between pittsburgh and baltimore and flight leaving chicago to nashville,atis_capacity#atis_flight,"10,2"
71,names of airports and then what is restriction ap57,atis_airport#atis_restriction,"6,7"
72,"are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning , what time does flight aa 459 depart and then do i get a meal on the atlanta to bwi flight eastern 210",atis_city#atis_flight_time#atis_meal,"11,17,13"
73,do i get a meal on the atlanta to bwi flight eastern 210,atis_meal,13
74,"what s the difference between fare code q and fare code b , what are the cities that american airlines serves and then what flights are available from denver to dallas fort worth in the afternoons",atis_abbreviation#atis_city#atis_flight,"5,11,2"
75,how many airlines fly from new york to los angeles by way of milwaukee,atis_quantity,0
76,does delta aircraft fly dc10,atis_aircraft,16
77,"i m traveling from boston to atlanta and i d like to go sometime after 5 pm but i want to know what kind of airplane it s on , airline code as and show me the flights from cincinnati to denver",atis_aircraft#atis_airline#atis_flight,"16,3,2"
78,what is delta s schedule of morning flights to atlanta,atis_flight_time,17
79,what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,atis_restriction,7
80,show me all meals on flights from atlanta to washington and also how many flights come from denver to baltimore on july nineteenth,atis_meal#atis_quantity,"13,0"
81,"show me airline abbreviations , show me the cities served by nationair and then how many flights does twa have with business class",atis_airline#atis_city#atis_quantity,"3,11,0"
82,"show me the cheapest fare in the database , which cities does united airlines service and then how many flights does delta have with a class of service code f",atis_cheapest#atis_city#atis_quantity,"15,11,0"
83,please show me airlines with flights from denver to philadelphia and also what is the arrival time in san francisco for the 755 am flight leaving washington,atis_airline#atis_flight_time,"3,17"
84,do the airlines still offer first class and please show me all airports in denver,atis_airline#atis_airport,"3,6"
85,what time zone is denver in,atis_city,11
86,show me all the cities that midwest express serves,atis_city,11
87,show me the flights from pittsburgh to baltimore arriving in baltimore on june fourteenth and then show me all meals on flights from atlanta to washington,atis_flight#atis_meal,"2,13"
88,cheapest fare from indianapolis to seattle and also list the number of flights arriving in dallas fort worth from boston before noon,atis_airfare#atis_flight_no,"4,1"
89,what is the cost of a flight from boston to san francisco and also what is restriction ap80,atis_airfare#atis_restriction,"4,7"
90,what types of aircraft does delta fly and also what times on wednesday could i take a plane from denver to oakland,atis_aircraft#atis_flight_time,"16,17"
91,what does it cost to fly from boston to san francisco on united airlines flight 21,atis_airfare,4
92,"show me all fares between philadelphia and san francisco that are less than 200 dollars one way , please tell me the times of the flights between boston and baltimore and also how many flights does eastern airlines have from boston to atlanta",atis_airfare#atis_flight_time#atis_quantity,"4,17,0"
93,what is restriction ap57,atis_restriction,7
94,what is bna,atis_abbreviation,5
95,how far is it from salt lake city airport to salt lake city,atis_distance,9
96,which airlines fly from boston to washington dc but stopover in some other city and also does the philadelphia airport have a name,atis_airline#atis_airport,"3,6"
97,show me the cheapest fare in the database and then how many fare codes belong to economy class,atis_cheapest#atis_quantity,"15,0"
98,what is the distance from san francisco international airport to san francisco,atis_distance,9
99,what s the capacity of a 733 and also how many flights does twa have with business class,atis_capacity#atis_quantity,"10,0"
100,"what s the name of the denver airport , what are the rental car rates in dallas and then how many fare codes belong to economy class",atis_airport#atis_ground_fare#atis_quantity,"6,14,0"
101,how many seats in a 100 and also is there a meal on delta flight 852 from san francisco to dallas fort worth,atis_capacity#atis_meal,"10,13"
102,what is the cost of limousine service in philadelphia,atis_ground_fare,14
103,what does ewr mean,atis_abbreviation,5
104,what is the name of the airport in philadelphia,atis_airport,6
105,what type of aircraft flies from pittsburgh to baltimore and what is restriction ap57,atis_aircraft#atis_restriction,"16,7"
106,what aircraft is co 1209,atis_aircraft,16
107,which airlines fly from boston to washington dc via other cities and then show me the cheapest fare in the database,atis_airline#atis_cheapest,"3,15"
108,what are the cities served by delta airlines and then i would like a schedule of flights from san francisco to boston on wednesday,atis_city#atis_flight_time,"11,17"
109,are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning and then how far is oakland airport from downtown,atis_city#atis_distance,"11,9"
110,how long does it take to get from atlanta airport into the city of atlanta and then what time are flights from denver to san francisco on continental airlines,atis_distance#atis_flight_time,"9,17"
111,"what s the name of the denver airport , what is the distance between pittsburgh airport and downtown pittsburgh and what are all the available meals",atis_airport#atis_distance#atis_meal,"6,9,13"
112,please list the cost of all flights from philadelphia to denver airport next sunday and then please list all airline flights between denver and boston,atis_airfare#atis_airline,"4,3"
113,"what is the number of first class flights on american airlines , show me times for flights from san francisco to atlanta and then is there a meal on delta flight 852 from san francisco to dallas fort worth",atis_flight_no#atis_flight_time#atis_meal,"1,17,13"
114,where is general mitchell international located,atis_city,11
115,"show me the cheapest fare in the database , what are the rental car rates in dallas and also what kind of ground transportation is available in atlanta",atis_cheapest#atis_ground_fare#atis_ground_service,"15,14,8"
116,is there a flight on united airlines from boston to denver and also what are all the available meals,atis_flight#atis_meal,"2,13"
117,flight numbers from minneapolis to long beach on june twenty six,atis_flight_no,1
118,"can you list costs of denver rental cars , is there a meal on delta flight 852 from san francisco to dallas fort worth and also how many flights does eastern airlines have from boston to atlanta",atis_ground_fare#atis_meal#atis_quantity,"14,13,0"
119,what airlines go to pittsburgh,atis_airline,3
120,"show me the cities served by canadian airlines international , how much would car rental cost in atlanta and what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars",atis_city#atis_ground_fare#atis_restriction,"11,14,7"
121,show first flight from pittsburgh to atlanta on wednesday and also how many flights does each airline have with first class service,atis_flight#atis_quantity,"2,0"
122,"please list information regarding san francisco airport , may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday and also how many flights has continental into and out of atlanta",atis_airport#atis_flight_no#atis_quantity,"6,1,0"
123,what does ua stand for,atis_abbreviation,5
124,show me the cheapest fare in the database and also show me all flights from pittsburgh to dallas,atis_cheapest#atis_flight,"15,2"
125,what is the cheapest one way ticket from denver to pittsburgh,atis_airfare,4
126,"what is the flight number of the earliest flight between boston and washington dc , how much would car rental cost in atlanta and is there a meal on delta flight 852 from san francisco to dallas fort worth",atis_flight_no#atis_ground_fare#atis_meal,"1,14,13"
127,please show me all airports in denver and how many flights does delta have with a class of service code f,atis_airport#atis_quantity,"6,0"
128,"i d like the cheapest cost fare to fort worth from boston , please list information regarding san francisco airport and ground transportation in san jose",atis_airfare#atis_airport#atis_ground_service,"4,6,8"
129,show me the airlines between toronto and denver and what is the flight number for the continental flight which leaves denver at 1220 pm and goes to san francisco,atis_airline#atis_flight_no,"3,1"
130,please tell me the times of the flights between boston and baltimore and then how much time does it take to go between the airport and downtown by ground transportation in dallas,atis_flight_time#atis_ground_service,"17,8"
131,show me the cheapest fare in the database and a first class flight on american to san francisco on tuesday in the next week,atis_cheapest#atis_flight,"15,2"
132,"show me the cheapest fare in the database , list all flights from denver to philadelphia and then show me the ground transportation to westchester county",atis_cheapest#atis_flight#atis_ground_service,"15,2,8"
133,please tell me the type of aircraft used from atlanta to denver before 12 o clock noon,atis_aircraft,16
134,what are the cities that american airlines serves,atis_city,11
135,what type of airplane is an m80 and show me all meals on flights from atlanta to washington,atis_aircraft#atis_meal,"16,13"
136,can you please tell me the type of aircraft used flying from atlanta to denver on eastern flight 825 leaving at 555 and then i want a one way ticket from dallas to baltimore,atis_aircraft#atis_airfare,"16,4"
137,what is the name of the airport in philadelphia and what are all the available meals,atis_airport#atis_meal,"6,13"
138,"show me the type of aircraft that canadian airlines uses , i would like your rates between atlanta and boston on september third and then list airlines serving between denver and san francisco",atis_aircraft#atis_airfare#atis_airline,"16,4,3"
139,what is the ground transportation between airport and baltimore,atis_ground_service,8
140,what is mco,atis_abbreviation,5
141,"what does ea mean , cheapest airfare from orlando to tacoma and also how expensive is the san francisco limousine service",atis_abbreviation#atis_airfare#atis_ground_fare,"5,4,14"
142,"what s the capacity of a 733 , how far is it from salt lake city airport to salt lake city and then show me all flights from oakland to philadelphia on saturday which serve a meal",atis_capacity#atis_distance#atis_flight,"10,9,2"
143,show me the cheapest fare in the database and also tell me about ground transportation at toronto,atis_cheapest#atis_ground_service,"15,8"
144,what is your least expensive fare between atlanta and boston and also how much is the ground transportation between atlanta and downtown,atis_airfare#atis_ground_fare,"4,14"
145,what is the total seating capacity of all aircraft of american airlines,atis_capacity,10
146,"what are the lowest one way fares from atlanta to denver , how far is it from orlando airport to orlando and also list the number of flights arriving in dallas fort worth from boston before noon",atis_airfare#atis_distance#atis_flight_no,"4,9,1"
147,does the philadelphia airport have a name and also how much time does it take to go between the airport and downtown by ground transportation in dallas,atis_airport#atis_ground_service,"6,8"
148,"what airline stands for hp , what are all the available meals and what is restriction ap57",atis_airline#atis_meal#atis_restriction,"3,13,7"
149,may i have a listing of flight numbers from columbus ohio to minneapolis minnesota on monday and also fine can you give me information on ground transportation in washington dc to downtown,atis_flight_no#atis_ground_service,"1,8"
150,show me airports in washington dc,atis_airport,6
151,"does any airline have an early afternoon flight from boston to pittsburgh , what is the seating capacity of a boeing 767 and then is there ground transportation from the milwaukee airport to the downtown area",atis_airline#atis_capacity#atis_ground_service,"3,10,8"
152,what airport in new york is closest to downtown,atis_airport,6
153,what aircraft is used on delta flight 1222 from kansas city to salt lake city and how much does it cost to get downtown from the atlanta airport by limousine,atis_aircraft#atis_ground_fare,"16,14"
154,how many cities are served by twa with first class flights,atis_quantity,0
155,"what is the smallest aircraft available to fly on from pittsburgh to baltimore , what airport is at tampa and what is the flight number of the earliest flight between boston and washington dc",atis_aircraft#atis_airport#atis_flight_no,"16,6,1"
156,how long does it take to get from denver to oakland,atis_distance,9
157,what does nw stand for and what cities does continental service,atis_abbreviation#atis_city,"5,11"
158,what s the smallest plane flying from pittsburgh to baltimore on december seventeenth and also what is restriction ap57,atis_aircraft#atis_restriction,"16,7"
159,define airline us,atis_abbreviation,5
160,how many flights arrive at general mitchell international,atis_quantity,0
161,what time are flights from denver to san francisco on continental airlines and also tell me about ground transportation at san francisco,atis_flight_time#atis_ground_service,"17,8"
162,what are the prices of the flights from dallas to baltimore and also please list the flight times from newark to boston,atis_airfare#atis_flight_time,"4,17"
163,how far is downtown from the airport in dallas and then what is the cost of the air taxi operation at philadelphia international airport,atis_distance#atis_ground_fare,"9,14"
164,"what s the lowest round trip fare from dallas to atlanta , what is the total schedule for delta s flights to all airports and also what is restriction ap57",atis_airfare#atis_flight_time#atis_restriction,"4,17,7"
165,is there limo service at pittsburgh airport and also what are all the available meals,atis_ground_service#atis_meal,"8,13"
166,what airport is at tampa,atis_airport,6
167,can you list costs of denver rental cars and also what are the restrictions on the cheapest one way fare between boston and oakland,atis_ground_fare#atis_restriction,"14,7"
168,what is the price of a first class ticket from milwaukee to san francisco round trip and then what price is a limousine service in boston,atis_airfare#atis_ground_fare,"4,14"
169,what cities does continental service and also what is restriction ap80,atis_city#atis_restriction,"11,7"
170,names of airports and also what are my meal options from boston to denver,atis_airport#atis_meal,"6,13"
171,"airports in new york , find me the flights that are nonstop between boston and dallas that leave between 12 and 2 in the afternoon and then is there a meal on delta flight 852 from san francisco to dallas fort worth",atis_airport#atis_flight#atis_meal,"6,2,13"
172,give me a list of airports in baltimore and then please list the flight times from newark to boston,atis_airport#atis_flight_time,"6,17"
173,"what aircraft has the largest seating capacity , what is the cost of the air taxi operation at philadelphia international airport and then what are my meal options from boston to denver",atis_aircraft#atis_ground_fare#atis_meal,"16,14,13"
174,can you show me the price of a flight to washington from atlanta on thursday morning and then what time does the tuesday morning 755 flight leaving washington arrive in san francisco,atis_airfare#atis_flight_time,"4,17"
175,show me the fares for a first class ticket from baltimore to dallas and also i would like the time of all flights from san francisco to pittsburgh on sunday,atis_airfare#atis_flight_time,"4,17"
176,what are all the available meals and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,atis_meal#atis_restriction,"13,7"
177,how many seats in a 100 and also is there ground transportation from the dallas airport to downtown dallas,atis_capacity#atis_ground_service,"10,8"
178,what is the cost of limousine service in philadelphia and what are my meal options from boston to denver,atis_ground_fare#atis_meal,"14,13"
179,all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning and please list the flight times from pittsburgh to newark,atis_aircraft#atis_flight_time,"16,17"
180,"houston airports , show me the cheapest fare in the database and then ground transportation in dallas and boston",atis_airport#atis_cheapest#atis_ground_service,"6,15,8"
181,airports and then what is the total seating capacity of all aircraft of american airlines,atis_airport#atis_capacity,"6,10"
182,houston airports and do i get a meal on the atlanta to bwi flight eastern 210,atis_airport#atis_meal,"6,13"
183,show me all meals on flights from atlanta to washington and how many booking classes are there,atis_meal#atis_quantity,"13,0"
184,what airline is ea and then flight numbers from columbus to minneapolis tomorrow,atis_airline#atis_flight_no,"3,1"
185,are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning and also please tell me how many nonstop flights there are from boston to atlanta,atis_city#atis_quantity,"11,0"
186,what is the earliest departure time from boston to denver and in boston is there ground transportation between airport and downtown,atis_flight_time#atis_ground_service,"17,8"
187,what is ord and is there a meal on delta flight 852 from san francisco to dallas fort worth,atis_abbreviation#atis_meal,"5,13"
188,show me the cheapest fare in the database and then where is general mitchell international located,atis_cheapest#atis_city,"15,11"
189,"what s the next smallest plane after a turboprop , please show me the return flight number from toronto to st petersburg and also do i get a meal on the atlanta to bwi flight eastern 210",atis_aircraft#atis_flight_no#atis_meal,"16,1,13"
190,"show me the type of aircraft that cp uses , what are the cities that american airlines serves and what is the earliest departure time from boston to denver",atis_aircraft#atis_city#atis_flight_time,"16,11,17"
191,what s the capacity of a 733 and then how many different flight classes are there,atis_capacity#atis_quantity,"10,0"
192,"round trip fare from baltimore to philadelphia less than 1000 dollars , what s the name of the denver airport and also how much does it cost to get downtown from the atlanta airport by limousine",atis_airfare#atis_airport#atis_ground_fare,"4,6,14"
193,how many different flight classes are there,atis_quantity,0
194,how far is the airport from downtown pittsburgh,atis_distance,9
195,list a round trip fare from kansas city to minneapolis flights and then what are the air restrictions on flights from pittsburgh to atlanta for the airfare of 416 dollars,atis_airfare#atis_restriction,"4,7"
196,list all round trip fares from pittsburgh to washington dc,atis_airfare,4
197,how much is a round trip fare from memphis to seattle,atis_airfare,4
198,show me the cities served by nationair and what types of ground transportation are available in denver,atis_city#atis_ground_service,"11,8"
199,show me the cheapest fare in the database and then how many first class flights does united have leaving from all cities today,atis_cheapest#atis_quantity,"15,0"
200,what is the abbreviation d10 and then what are the seating capacities of planes between pittsburgh and baltimore,atis_abbreviation#atis_capacity,"5,10"
201,what does the fare code yn mean and please show me all airports in denver,atis_abbreviation#atis_airport,"5,6"
202,"what does code y mean , what cities does continental service and show flights from denver to san francisco",atis_abbreviation#atis_city#atis_flight,"5,11,2"
203,"how much does it cost to fly from atlanta to san francisco , how many people fit on a 73s and then what is the schedule of ground transportation from washington airport into downtown",atis_airfare#atis_capacity#atis_flight_time,"4,10,17"
204,where is general mitchell international located and when does continental fly from philadelphia to denver on sundays,atis_city#atis_flight_time,"11,17"
205,how many airports does oakland have,atis_quantity,0
206,what are the restrictions on the cheapest one way fare between boston and oakland,atis_restriction,7
207,names of airports and then how long does it take to get from atlanta airport into the city of atlanta,atis_airport#atis_distance,"6,9"
208,what airlines are there and also do i get a meal on the atlanta to bwi flight eastern 210,atis_airline#atis_meal,"3,13"
209,show me all meals on flights from atlanta to washington,atis_meal,13
210,what s the capacity of an f28 and then show me all meals on flights from atlanta to washington,atis_capacity#atis_meal,"10,13"
211,show me airports near washington dc,atis_airport,6
212,"what kinds of planes are used by american airlines , and i ll need ground transportation for tuesday july sixth to wednesday july seventh in san diego and then what are my meal options from boston to denver",atis_aircraft#atis_ground_service#atis_meal,"16,8,13"
213,do you have the fare for traveling from oakland airport to oakland downtown and how many flights does delta have with a class of service code f,atis_airfare#atis_quantity,"4,0"
214,what are the seating capacities of planes between pittsburgh and baltimore and what types of meals are available,atis_capacity#atis_meal,"10,13"
215,i want to know the time of the latest flight i can take from washington to san francisco where i can get a dinner meal,atis_flight_time,17
216,what type of airplane is an m80,atis_aircraft,16
217,"where is general mitchell international located , what are my meal options from boston to denver and how many american airline flights leave denver june tenth",atis_city#atis_meal#atis_quantity,"11,13,0"
218,what is the name of the airport at denver,atis_airport,6
219,what is restriction ap 80 and then i would like information on flights leaving atlanta and arriving in dallas,atis_abbreviation#atis_flight,"5,2"
220,show me one way flights from tampa to st louis departing before 10 am first class,atis_flight,2
221,which cities does united airlines service and also flight numbers from columbus to minneapolis tomorrow,atis_city#atis_flight_no,"11,1"
222,what times does the late afternoon flight leave from washington for denver and what is the cost of the air taxi operation at philadelphia international airport,atis_flight_time#atis_ground_fare,"17,14"
223,which cities are serviced by both american and delta airlines and then what is the distance from toronto international airport to toronto,atis_city#atis_distance,"11,9"
224,what does fare code m mean and show me the airlines that fly from san francisco to boston,atis_abbreviation#atis_airline,"5,3"
225,how many people fly on a turboprop and then how long does it take to get from atlanta airport into the city of atlanta,atis_capacity#atis_distance,"10,9"
226,"what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco with a dallas stopover , how many seats in a 734 and also what cities are served by canadian airlines international",atis_aircraft#atis_capacity#atis_city,"16,10,11"
227,what time are flights from denver to san francisco on continental airlines,atis_flight_time,17
228,"what does fare code y mean , what is the seating capacity of the various airplanes that united airlines uses and also i want to know the time of the latest flight i can take from washington to san francisco where i can get a dinner meal",atis_abbreviation#atis_capacity#atis_flight_time,"5,10,17"
229,what airlines fly from philadelphia to san francisco and what cities does continental service,atis_airline#atis_city,"3,11"
230,what is dl and also show me all meals on flights from atlanta to washington,atis_abbreviation#atis_meal,"5,13"
231,show me the cheapest fare in the database and show me all the cities that midwest express serves,atis_cheapest#atis_city,"15,11"
232,what is fare code m and also what are the restrictions on the cheapest one way fare between boston and oakland,atis_abbreviation#atis_restriction,"5,7"
233,"are there any other cities that i can fly from boston to dallas through that i can get a flight earlier than 1017 in the morning , what is the distance from la guardia to new york s downtown and what types of meals are available",atis_city#atis_distance#atis_meal,"11,9,13"
234,cheapest airfare from tacoma to orlando and also please show me airlines with flights from denver to boston with a stopover in philadelphia,atis_airfare#atis_airline,"4,3"
235,what are the flights from kansas city to burbank on saturday may twenty two on america west,atis_flight,2
236,what s the capacity of a 733 and also show me the cheapest fare in the database,atis_capacity#atis_cheapest,"10,15"
237,what is american s schedule of morning flights to atlanta,atis_flight_time,17
238,how many cities are served by continental with first class flights,atis_quantity,0
239,show me the cheapest fare in the database and then show me flights from new york to miami,atis_cheapest#atis_flight,"15,2"
240,"is there a plane from boston to washington , flight numbers from minneapolis to long beach on june twenty six and do i get a meal on the atlanta to bwi flight eastern 210",atis_aircraft#atis_flight_no#atis_meal,"16,1,13"
241,what aircraft is used on delta flight 1222 from kansas city to salt lake city,atis_aircraft,16
242,what does co mean,atis_abbreviation,5
243,"what s the capacity of an f28 , please list the prices for a rental car in pittsburgh and also how many flights does continental airlines have with a class of service code f",atis_capacity#atis_ground_fare#atis_quantity,"10,14,0"
244,are there any flights from boston to san francisco stopping in denver,atis_flight,2
245,what are the cities that american airlines serves and also what is restriction ap57,atis_city#atis_restriction,"11,7"
246,which airlines fly from boston to san francisco,atis_airline,3
247,"what does code yn mean , show me airports in washington dc and also please show me the return flight number from toronto to st petersburg",atis_abbreviation#atis_airport#atis_flight_no,"5,6,1"
