,utt,intent,index
179,can i drive from edmonds to bellingham and avoid any highway construction,get_info_traffic,0
180,will i arrive to the music festival at 6th october stage before dawn if i leave at 1 am,get_event#get_estimated_arrival#get_location,"7,20,9"
181,could you please tell me what the traffic is like for the kansas city area,get_info_traffic,0
182,is there any slow moving traffic in san jose for the football game in the evening,get_info_traffic#get_event,"0,7"
183,what is the distance between rocky mount and cleveland,get_distance,4
184,any traffic stopped,get_info_traffic,0
185,what is traffic like on the way to andrew s work,get_info_traffic#get_location_work,"0,11"
186,"if i leave shakespeare in the park at 6 pm, when will i get to portland",get_event#get_estimated_arrival,"7,20"
187,museum shows in the city this weekend,get_event#get_location,"7,9"
188,"using the i-10 freeway, how long will it take me to get to victoria gardens",get_location#get_estimated_duration,"9,18"
189,how long should i add to my commute for construction delays,get_estimated_duration,18
190,music events in charleston next month,get_event,7
191,need directions from my house to the cleveland clinic for my daughters appointment at 8 this morning,get_event#get_directions#get_location#get_location_home#get_contact,"7,6,9,22,15"
192,traffic for the next month please,get_info_traffic,0
193,what family activities are happening in placer county,get_event,7
194,what is the distance from miami to washington dc,get_distance,4
195,free festivals in charlotte next year,get_event,7
196,let me know what the traffic is like when i leave work,get_info_traffic#get_location_work,"0,11"
197,distance between  spain and portugal,get_distance,4
198,concerts by janet jackson,get_event,7
199,christmas music events in tampa this friday,get_event,7
200,movie in the park events nearby this week,get_event#get_location,"7,9"
201,escape the room tickets for this weekend in philadelphia,unsupported_event,19
202,are there any traffic accidents on my way home,get_info_traffic#get_location_home,"0,22"
203,is there any construction on the way to the zoo,get_info_traffic#get_location,"0,9"
204,what will my commute be like today as far as traffic,get_info_traffic,0
205,events this weekend,get_event,7
206,what are the current traffic conditions in st louis,get_info_traffic,0
207,"how long will it take me to get to sandi s house, if i leave my mom s now",get_location_home#get_estimated_duration,"22,18"
208,where does the nutcracker play the week of before christmas,get_event,7
209,directions to school,get_location_school#get_directions,"21,6"
210,how is the traffic in georgia today,get_info_traffic,0
211,does the local bus provide regular service to the airport,unsupported_navigation,16
212,the best place to go dancing on friday night in roseville,get_event,7
213,why is the freeway so backed up today,get_info_traffic#get_location,"0,9"
214,is their an e-sports lounge with a grill nearby,unsupported,10
215,how long is the bus ride from market street to the beyonce concert tonight,get_event#get_estimated_duration,"7,18"
216,where can i go cross country skiing,get_event,7
217,anything fun to do this weekend,get_event,7
218,what is there to do in portland tonight,get_event,7
219,is the interchange in downtown birmingham open again now and if not what route can i take to get around downtown birmingham,unsupported_navigation,16
220,what broadway shows are currently playing in new york,get_event,7
221,why is the traffic so bad in orange county this week,get_info_traffic,0
222,any good classical musicals going on in portland next week,get_event,7
223,what cruises are leaving out of galveston in april,get_event,7
224,what are my options for public transportation to get downtown right now,unsupported_navigation,16
225,what time of day is the traffic heaviest in tampa,unsupported_navigation,16
226,i m looking for any broadway show happening tonight,get_event,7
227,time to get to strongsville,get_estimated_duration,18
228,what are the dates for the boat parade of lights in havasu this month,get_event,7
229,whats going on saturday night,get_event,7
230,how many hours is a flight from san diego to omaha,get_estimated_duration,18
231,country concerts in portland in january,get_event,7
232,how long will it take me to reach the nearest fueling station,get_location#get_estimated_duration,"9,18"
233,how long will it take to get there with the traffic today,get_estimated_duration,18
234,any live wrestling shows in town this weekend,get_event#get_location,"7,9"
235,"where is the sign that reads """"we love tacos"""" in san antonio",unsupported,10
236,what shows are at the stadium theater in january,get_event#get_location,"7,9"
237,what is the driving time between riverton and buffalo,get_estimated_duration,18
238,how long is the drive for shenandoah to bedford,get_estimated_duration,18
239,holland center concerts next month,get_event#get_location,"7,9"
240,how long is the drive to macomb mall,get_location#get_estimated_duration,"9,18"
241,are there any delays on the way to the cubs game right now,get_info_traffic#get_event,"0,7"
242,will traffic be heavy this weekend,get_info_traffic,0
243,how much traffic will be on the i5 right now,get_info_traffic,0
244,what is happening near me,get_event#get_location,"7,9"
245,christmas events,get_event,7
246,how long will it take to get to grand junction,get_estimated_duration,18
247,find directions to a whole foods that is near a movie theatre,get_directions#get_location,"6,9"
248,how long will it take me to get a bus at sample road and university drive bus stop if i am there at 8:00am,unsupported_navigation,16
249,how long will it take to get to lisa s house by bus,get_location_home#get_estimated_duration,"22,18"
250,is there construction on my route to work,get_info_traffic#get_location_work,"0,11"
251,is the freeway clear from here to the beach right now,get_info_traffic#get_location,"0,9"
252,have they opened the 101 since the fires,get_info_road_condition,17
253,how is traffic on the parkway,get_info_traffic#get_location,"0,9"
254,how long will it take to get to my doctors appointment at 3 pm if i don t take the highway,get_event#get_location#get_estimated_duration,"7,9,18"
255,where can i get turtle food,unsupported,10
256,when will i get home,get_location_home#get_estimated_arrival,"22,20"
257,any delays on i-77 north,get_info_traffic,0
258,if i leave at 3pm will i make it to the doctor by 3:30,get_estimated_arrival#get_location,"20,9"
259,how long does it take to get to centurylink field by bus from federal way,get_location#get_estimated_duration,"9,18"
260,how much will traffic add to my time to get to east corning,get_estimated_duration,18
261,is the snow blocking route 5,get_info_road_condition,17
262,what time i need to leave my house to make it to eagles game by 4pm,get_location_home#get_event#get_estimated_departure,"22,7,5"
263,how long will it take for me to drive to my dad s restaurant to make it there before noon,get_location_work#get_estimated_duration,"11,18"
264,can you let me know what the traffic looks like right now,get_info_traffic,0
265,how is the traffic by newark airport,get_info_traffic#get_location,"0,9"
266,is the road still barricaded for the jamesville easter parade,unsupported_navigation,16
267,any fun events this weekend,get_event,7
268,is there a horse show in longmont soon,get_event,7
269,is the weather causing traffic delays today,get_info_traffic,0
270,is there any delays on my way to work this morning,get_info_traffic#get_location_work,"0,11"
271,show me snow fall and highway closer during december,get_info_traffic,0
272,"san jose airport, leaving now, approximate travel time",get_location#get_estimated_duration,"9,18"
273,how long to walk from my house to the bank,get_location_home#get_location#get_estimated_duration,"22,9,18"
274,traffic,get_info_traffic,0
275,is there a bike lane on smith street,unsupported_navigation,16
276,get directions to michaels from anaheim,get_location_home#get_directions,"22,6"
277,how long will it take me to get to hy-vee right now,get_location#get_estimated_duration,"9,18"
278,please show me how long it will take me to get to work if i leave my house right now given the current traffic conditions,get_location_home#get_location_work#get_estimated_duration,"22,11,18"
279,what s the traffic like in lenoir city,get_info_traffic,0
280,on what street is my old high school on and how long should it take to get there,get_location_school#combine#get_location#get_estimated_duration,"21,24,9,18"
281,traffic in nashville tn for holiday weekend,get_info_traffic,0
282,any music events this weekend,get_event,7
283,"events happening within a 30 mile radius of me, happening today",get_event#get_location,"7,9"
284,what s the traffic in the loop today,get_info_traffic,0
285,how many miles is it from truckee to south lake tahoe,get_distance,4
286,are the freeway icy this morning,get_info_road_condition#get_location,"17,9"
287,ideas on what to do in san francisco today,get_event,7
288,is there some sort of christmas festival in carmel this year,get_event,7
289,whats happening this weekend,get_event,7
290,japanese fast food restaurants serving sushi on sundays near me,unsupported,10
291,is there any expected road construction on my way to work tomorrow,get_info_traffic#get_location_work,"0,11"
292,is there usually traffic on the weekend for my area,get_info_traffic#get_location_home,"0,22"
293,how is my drive to my hair appointment,get_info_traffic#get_event,"0,7"
294,how long will it take me to drive from justin s house to the selena gomez show,get_location_home#get_event#get_estimated_duration,"22,7,18"
295,is it easier to take i71 or i90,unsupported_navigation,16
296,how many roadblocks are there for the mardi gras festival in downtown san diego,unsupported_navigation,16
297,will i make it in time,get_estimated_arrival,20
298,things to do in sf tonight,get_event,7
299,are there any rock concerts in december in my town,get_location_home#get_event,"22,7"
300,what time does the train arrive at the delta station,unsupported_navigation,16
301,will the torch relay slow down traffic on i-94 around 8 am today,get_info_traffic#get_event,"0,7"
302,"how many miles from my home to lancaster, pa",get_location_home#get_distance,"22,4"
303,is there any traffic on west main street,get_info_traffic,0
304,what is traffic on interstate 75 like right now,get_info_traffic,0
305,how long will it take to get from target to walmart tomorrow if i take the bus,get_location#get_estimated_duration,"9,18"
306,parties tomorrow in los angeles,get_event,7
307,how long would it take me to drive to the snoop dogg gig if i left in 5 minutes,get_event#get_estimated_duration,"7,18"
308,what areas should i avoid,unsupported_navigation,16
309,how long will i take me to get home,get_location_home#get_estimated_duration,"22,18"
310,how long will it take me to get to my moms,get_location_home#get_estimated_duration,"22,18"
311,concerts in vegas next year,get_event,7
312,"i want to see a concert tonight, is there anything going on near me",get_event#get_location,"7,9"
313,what is the traffic forecast this weekend,get_info_traffic,0
314,is the fog this morning affecting traffic on the way to downtown,get_info_traffic,0
315,new york might have the worst traffic,unsupported_navigation,16
316,are there any detours on my way to ohio,get_info_traffic,0
317,"what s going on in harrisburg, pa at the end of this month",get_event,7
318,things to do in boston this weekend,get_event,7
319,crafts shows coming up,get_event,7
320,how is the traffic from syosset to queens,get_info_traffic,0
321,help me avoid traffic going home,get_location_home#get_directions,"22,6"
322,is there another route that i can go to avoid the traffic accident,update_directions,12
323,is us 95 north bound busy,get_info_traffic,0
324,"things to do in austell, georgia",get_event,7
325,how long is the drive from the outer banks and columbia,get_estimated_duration,18
326,concerts by hall and oates this month,get_event,7
327,how long will it take to get to fort lauderdale by train,get_estimated_duration,18
328,is there road construction on the road to memphis from little rock,get_info_traffic,0
329,coffee house and music,get_event#get_location,"7,9"
330,how long will it take me to get to work from home,get_location_home#get_location_work#get_estimated_duration,"22,11,18"
331,things to do in cleveland next weekend,get_event,7
332,how long is the trip in train to atlantic city on a sunday,get_estimated_duration,18
333,anything cool going on in hardy tonight,get_event,7
334,concerts by pentatonix,get_event,7
335,route me to work,get_directions#get_location_work,"6,11"
336,where are the construction zones,get_info_traffic,0
337,what s the best route home today,get_location_home#get_directions,"22,6"
338,are they any traffic delays for my ride home today,get_info_traffic#get_location_home,"0,22"
339,how heavy is the traffic driving from greenville to new york,get_info_traffic,0
340,get time delay due too the flooding on the way to work,get_location_work#get_estimated_duration,"11,18"
341,is the construction in connecticut going to make me late to the show in new haven,get_event#get_estimated_arrival,"7,20"
342,update on traffic please,get_info_traffic,0
343,what is there to do in seattle this week,get_event,7
344,beer tasting in albuquerque for march,get_event,7
345,how do i avoid traffic in honolulu,get_info_traffic,0
346,how has traffic been today,get_info_traffic,0
347,any good concerts tonight,get_event,7
348,how fast can i get to the hospital,get_location#get_estimated_duration,"9,18"
349,how long is going to take to get home,get_location_home#get_estimated_duration,"22,18"
350,things to do in weekend mornings,get_event,7
351,tell me the time to new hampshire using only back roads with no construction,get_location#get_estimated_duration,"9,18"
352,harry styles concert within the next month,get_event,7
353,are the buses running on schedule today,get_estimated_departure,5
354,where are the fall festivals in orlando,get_event,7
355,is there a hearthstone fireside gathering in los angeles next week,get_event,7
356,how far is it from the local walmart,get_distance#get_location,"4,9"
357,things to do for kids 5 and under on saturday night in las vegas,get_event,7
358,directions to the university of michigan,get_directions#get_location,"6,9"
359,are the roads clear going from corpus christi to galveston texas or is there construction,get_info_traffic,0
360,if i take i-35 from norman when will i arrive at the oklahoma city thunder game,get_event#get_estimated_arrival,"7,20"
361,how do the roads look,get_info_traffic,0
362,events for families tomorrow downtown,get_event,7
363,what is the distance between tucson and chicago,get_distance,4
364,what is the toll free route from home to seaworld,get_location_home#get_directions#get_location,"22,6,9"
365,christmas parties in portland please,get_event,7
366,how much time will it add to my commute if i leave during rush hour,get_estimated_duration,18
367,display fastest walking route to grocery store,get_directions#get_location,"6,9"
368,"my doctor has moved locations since my last visit  can you find his new address, and send the directions to my gps",unsupported_navigation,16
369,best way to get to makalapa at 345pm from red hill,get_directions,6
370,how does my ride to school look,get_info_traffic#get_location_school,"0,21"
371,what is happening in silver spring over the weekend,get_event,7
372,what is the best way to get home tonight,get_location_home#get_directions,"22,6"
373,will traffic be as bad as yesterday,unsupported_navigation,16
374,how many miles to i drive a week,unsupported_navigation,16
375,is there more traffic than usual on my drive home,get_info_traffic#get_location_home,"0,22"
376,what is the fastest route by car to lewis house,get_location_home#get_directions,"22,6"
377,can you tell me the conditions of the roads from here to jeremy s house,get_info_traffic#get_location_home#get_location,"0,22,9"
378,give me a traffic report for los angeles,get_info_traffic,0
379,eta to go home,get_location_home#get_estimated_arrival,"22,20"
380,bruno mars concerts in cleveland this year,get_event,7
381,things to do in miami,get_event,7
382,where is there construction on the highway,get_info_traffic#get_location,"0,9"
383,how long will it take me to get home from diana s house,get_location_home#get_estimated_duration,"22,18"
384,current traffic,get_info_traffic,0
385,concerts by justin timberlake for this weekend,get_event,7
386,pennington gap virginia for fun,get_event,7
387,show me traffic,get_info_traffic,0
388,what time will i arrive at the airport if i leave at 8am,get_estimated_arrival#get_location,"20,9"
389,what is the traffic like in chicago right now,get_info_traffic,0
390,is there any heavy traffic in tampa today,get_info_traffic,0
391,concerts by billy joel next week,get_event,7
392,show me friends that attended a local festival,unsupported,10
393,"what s the traffic like near columbus, oh",get_info_traffic#get_location,"0,9"
394,"are all lanes open of i10 between my house and mobile, al",unsupported_navigation,16
395,tell me how long it takes to drive from nyc to jersey city,get_estimated_duration,18
396,who posted on the franklin flea market cite,unsupported,10
397,what s up in las vegas this weekend,get_event,7
398,which road has the least traffic lights through town,unsupported_navigation,16
399,christmas activities in katy this weekend,get_event,7
400,were any of my friends at the casino last week,unsupported,10
401,how long will it take to get to nora s from jay s if i leave around 8pm,get_location_home#get_estimated_duration,"22,18"
402,any parties,get_event,7
403,"ruth chris steakhouse in jacksonville, florida",unsupported,10
404,directions to the mall,get_directions#get_location,"6,9"
405,music events this weekend,get_event,7
406,funny acts in dallas this weekend,get_event,7
407,gamestop expo details please,get_event,7
408,if i m planning to drive to kiawah island in a day when should i leave,get_estimated_departure,5
409,mdot construction,get_info_traffic,0
410,any libraries open on the weekend in hayward,unsupported,10
411,"if i leave my aunt s house at 11 am, will i make it to the rock and roll marathon by 11:30 a,m",get_location_home#get_event#get_estimated_arrival,"22,7,20"
412,is there traffic on the 290 w today,get_info_traffic,0
413,how many miles from new york to chicago,get_distance,4
414,what time should i leave to get to the airport before 6,get_estimated_departure#get_location,"5,9"
415,nearby road-closures,get_info_traffic#get_location,"0,9"
416,how can i avoid construction traffic,update_directions,12
417,will i make it sandra day o connor high school by 8 am if i leave now,get_estimated_arrival,20
418,how long will it take to get to work,get_location_work#get_estimated_duration,"11,18"
419,show me book readings in valencia this week,get_event,7
420,find the traffic for dallas,get_info_traffic,0
421,how do i go to borough market from my hotel,get_directions#get_location,"6,9"
422,how long is my drive from columbus to chicago,get_estimated_duration,18
423,what is the distance from biloxi to jackson,get_distance,4
424,stand up comedy in chicago on december 23,get_event,7
425,how bad is the traffic by the beach,get_info_traffic#get_location,"0,9"
426,how long is the drive to stone harbor,get_estimated_duration,18
427,when does the ice skating rink open downtown,unsupported,10
428,are there any detours on my way to moms house saturday,get_info_traffic#get_location_home,"0,22"
429,is traffic heavy on the way to iowa state university,get_info_traffic#get_location,"0,9"
430,craft classes in chicago fridays afternoon,get_event,7
431,food events in atlanta this weekend,get_event,7
432,what is the best route to take to to get to the concert tonight,get_directions#get_event,"6,7"
433,how far away is japan from korea,get_distance,4
434,what time of day is the traffic the lightest in my area,unsupported_navigation,16
435,list all cool things to do in iceland,get_event,7
436,are the express lanes on i5 open right now,unsupported_navigation,16
437,best way to avoid travelling on 32nd street,get_directions,6
438,what time will i arrive at grand central market if i leave home right now,get_location_home#get_estimated_arrival#get_location,"22,20,9"
439,how many miles from home to kansas city zoo,get_location_home#get_distance#get_location,"22,4,9"
440,current traffic conditions,get_info_traffic,0
441,what is traffic like in my area,get_info_traffic#get_location,"0,9"
442,events in vegas this weekend,get_event,7
443,christmas events at the birmingham zoo,get_event#get_location,"7,9"
444,are there any tolls between santos and são paulo,get_location#get_info_route,"9,8"
445,what is the traffic like in miami now that it s so populated,get_info_traffic,0
446,how is the traffic on highway 89-a this evening,get_info_traffic,0
447,would it be faster if i left now to go to kasey s house or wait until 6pm to leave,unsupported_navigation,16
448,any skating events in windham,get_event,7
449,"saturdays can be a lot of traffic going into chicago, is there a better day to go",unsupported_navigation,16
450,what is the best time to travel from a to b,get_estimated_departure,5
451,can i make the 5pm movie at movie town,get_event#get_estimated_arrival#get_location,"7,20,9"
452,list traffic issues,get_info_traffic,0
453,tell me about the traffic,get_info_traffic,0
454,what is the distance from new york to los angeles,get_distance,4
455,what off broadway shows are showing at the lennon theater in new york city the first week in february,get_event#get_location,"7,9"
456,are the roads snowpacked on the way to the ski santa fe brewski festival,get_event#get_info_road_condition,"7,17"
457,how long is the drive from new york to newark,get_estimated_duration,18
458,how long is the drive to cape may,get_estimated_duration,18
459,any crashes reported clogging up traffic,get_info_traffic,0
460,what events does the st louis history museum have today,get_event#get_location,"7,9"
461,hip downtown clubs in new york,unsupported,10
462,what s the traffic from here to onalaska,get_info_traffic#get_location,"0,9"
463,beauty and beast play showing in theatre in fort worth soon,get_event#get_location,"7,9"
464,"who has the best children s entertainment in south boston, va",get_event,7
465,if i leave at noon how long will it take me to get to my mom s in the current traffic,get_location_home#get_estimated_duration,"22,18"
466,circus events near me tonight,get_event#get_location,"7,9"
467,is traffic backed up due to the accident on 84,get_info_traffic,0
468,what are the traffic delays,get_info_traffic,0
469,what is there to do this weekend,get_event,7
470,how are the conditions going up spanish fork canyon now,get_info_traffic#get_location,"0,9"
471,what is the travel time on 1-90 to miller stadium right now,get_estimated_duration,18
472,best nye party spots,get_event,7
473,fastest route to go to apple store,get_directions#get_location,"6,9"
